Date,Description,Deposits,Withdrawls,Balance
2020-08-21,NEFT,31237.0,0.0,1374488.25
2020-08-21,Transfer,0.0,137448.83,1237039.42
2020-08-21,IMPS,0.0,412346.47,824692.95
2020-08-21,Commission,0.0,412346.48,412346.48
2020-08-21,Bill,0.0,51543.31,360803.17
2020-08-22,NEFT,0.0,90200.79,270602.38
2020-08-22,NEFT,6.6,0.0,270608.98
2020-08-22,Reversal,0.0,45101.5,225507.48
2020-08-22,RTGS,217183.1,0.0,442690.58
2020-08-22,RTGS,0.0,221345.29,221345.29
2020-08-22,Debit Card,17021.0,0.0,238366.29
2020-08-22,Commission,128690.25,0.0,367056.54
2020-08-22,Reversal,3749.1,0.0,370805.64
2020-08-22,Miscellaneous,2585.2,0.0,373390.84
2020-08-22,NEFT,1339.0,0.0,374729.84
2020-08-22,Purchase,0.0,93682.46,281047.38
2020-08-22,Bill,335.7,0.0,281383.08
2020-08-22,Bill,0.0,35172.89,246210.2
2020-08-22,NEFT,0.0,24621.02,221589.18
2020-08-22,NEFT,0.0,36931.53,184657.65
2020-08-22,RTGS,0.0,92328.83,92328.82
2020-08-22,IMPS,39082.7,0.0,131411.52
2020-08-22,Interest,16.48,0.0,131428.0
2020-08-22,ATM,0.0,18775.43,112652.57
2020-08-22,Debit Card,1001957.0,0.0,1114609.57
2020-08-22,Commission,0.0,1114609.57,0.0
2020-08-22,Interest,229611.0,0.0,229611.0
2020-08-22,Purchase,21743.97,0.0,251354.97
2020-08-22,Purchase,0.0,125677.49,125677.48
2020-08-22,Purchase,272.0,0.0,125949.48
2020-08-22,Debit Card,306.0,0.0,126255.48
2020-08-22,Tax,0.0,42085.16,84170.32
2020-08-22,Cheque,2408.0,0.0,86578.32
2020-08-22,Interest,36.68,0.0,86615.0
2020-08-22,Purchase,59.51,0.0,86674.51
2020-08-22,Transfer,58.49,0.0,86733.0
2020-08-22,Bill,24976.6,0.0,111709.6
2020-08-22,Tax,27.0,0.0,111736.6
2020-08-22,NEFT,0.0,18622.77,93113.83
2020-08-22,Transfer,6.0,0.0,93119.83
2020-08-22,RTGS,4.0,0.0,93123.83
2020-08-22,NEFT,0.0,46561.92,46561.92
2020-08-22,ATM,3925.0,0.0,50486.92
2020-08-22,IMPS,7.2,0.0,50494.12
2020-08-22,IMPS,0.0,16831.37,33662.75
2020-08-22,IMPS,74284.97,0.0,107947.72
2020-08-22,ATM,0.0,15421.1,92526.62
2020-08-22,Bill,0.0,18505.32,74021.3
2020-08-22,Bill,6.0,0.0,74027.3
2020-08-22,Purchase,0.0,7402.73,66624.57
2020-08-22,Cash,0.0,66624.57,0.0
2020-08-22,Purchase,16267.0,0.0,16267.0
2020-08-22,Commission,0.0,1626.7,14640.3
2020-08-22,NEFT,0.0,1626.7,13013.6
2020-08-22,ATM,2599.6,0.0,15613.2
2020-08-22,Miscellaneous,3420.2,0.0,19033.4
2020-08-22,Debit Card,0.0,4758.35,14275.05
2020-08-22,Reversal,0.0,4758.35,9516.7
2020-08-22,Cheque,0.0,1359.53,8157.17
2020-08-22,Commission,0.0,906.35,7250.82
2020-08-22,Debit Card,0.0,1450.16,5800.66
2020-08-22,Purchase,0.0,580.07,5220.59
2020-08-22,Interest,0.0,1044.12,4176.47
2020-08-22,Miscellaneous,0.0,4176.47,0.0
2020-08-22,Miscellaneous,16915.8,0.0,16915.8
2020-08-22,Cheque,0.0,2819.3,14096.5
2020-08-22,IMPS,0.0,7048.25,7048.25
2020-08-23,Purchase,1432.0,0.0,8480.25
2020-08-23,Miscellaneous,0.0,848.03,7632.22
2020-08-23,IMPS,1807354.0,0.0,1814986.22
2020-08-23,Interest,0.0,604995.41,1209990.81
2020-08-23,Bill,0.0,120999.08,1088991.73
2020-08-23,Debit Card,1.7,0.0,1088993.43
2020-08-23,Reversal,0.0,155570.49,933422.94
2020-08-23,Bill,0.0,133346.13,800076.81
2020-08-23,Cash,0.0,114296.69,685780.12
2020-08-23,Commission,0.0,171445.03,514335.09
2020-08-23,ATM,28.0,0.0,514363.09
2020-08-23,ATM,0.0,73480.44,440882.65
2020-08-23,NEFT,72005.25,0.0,512887.9
2020-08-23,Transfer,1.6,0.0,512889.5
2020-08-23,RTGS,0.0,56987.72,455901.78
2020-08-23,Purchase,80.79,0.0,455982.57
2020-08-23,RTGS,0.0,75997.1,379985.48
2020-08-23,Reversal,5277.66,0.0,385263.14
2020-08-23,Reversal,0.0,128421.05,256842.09
2020-08-23,Cash,0.0,64210.52,192631.57
2020-08-23,RTGS,0.0,27518.8,165112.77
2020-08-23,ATM,271.0,0.0,165383.77
2020-08-23,ATM,0.0,55127.92,110255.85
2020-08-23,Cheque,0.0,11025.59,99230.26
2020-08-23,Reversal,10196.72,0.0,109426.98
2020-08-23,ATM,0.0,109426.98,0.0
2020-08-23,Cash,1078.5,0.0,1078.5
2020-08-23,Reversal,0.0,359.5,719.0
2020-08-23,Debit Card,0.0,102.71,616.29
2020-08-23,Bill,16011.0,0.0,16627.29
2020-08-23,Commission,0.0,3325.46,13301.83
2020-08-23,Cash,0.0,1477.98,11823.85
2020-08-23,Cheque,0.0,3941.28,7882.57
2020-08-23,Cash,3960.92,0.0,11843.49
2020-08-23,Transfer,0.0,2368.7,9474.79
2020-08-23,Cash,0.0,1353.54,8121.25
2020-08-23,NEFT,0.0,812.13,7309.12
2020-08-23,NEFT,0.0,1044.16,6264.96
2020-08-23,Cheque,0.0,1252.99,5011.97
2020-08-23,Miscellaneous,0.0,1002.39,4009.58
2020-08-23,Interest,1.0,0.0,4010.58
2020-08-23,Debit Card,8729.5,0.0,12740.08
2020-08-23,ATM,0.0,6370.04,6370.04
2020-08-23,Cheque,0.0,6370.04,0.0
2020-08-23,NEFT,54.77,0.0,54.77
2020-08-23,Bill,0.0,6.85,47.92
2020-08-23,ATM,0.0,23.96,23.96
2020-08-23,NEFT,252961.1,0.0,252985.06
2020-08-23,Reversal,0.0,50597.01,202388.05
2020-08-23,Cash,2795.1,0.0,205183.15
2020-08-23,Commission,0.0,102591.58,102591.58
2020-08-23,Debit Card,0.0,102591.58,0.0
2020-08-23,Bill,29662.05,0.0,29662.05
2020-08-23,Debit Card,0.0,3295.78,26366.27
2020-08-23,Purchase,55.0,0.0,26421.27
2020-08-23,RTGS,206667.8,0.0,233089.07
2020-08-23,Bill,1658310.0,0.0,1891399.07
2020-08-23,RTGS,2385.1,0.0,1893784.17
2020-08-23,Commission,0.0,631261.39,1262522.78
2020-08-23,Debit Card,6.4,0.0,1262529.18
2020-08-23,Debit Card,0.0,140281.02,1122248.16
2020-08-23,Commission,0.0,374082.72,748165.44
2020-08-23,Tax,0.0,249388.48,498776.96
2020-08-23,Purchase,4.0,0.0,498780.96
2020-08-23,RTGS,176.89,0.0,498957.85
2020-08-23,Interest,0.0,71279.69,427678.16
2020-08-23,Cash,0.0,47519.8,380158.36
2020-08-23,Miscellaneous,0.0,76031.67,304126.69
2020-08-23,Miscellaneous,0.0,43446.67,260680.02
2020-08-24,Tax,1086041.0,0.0,1346721.02
2020-08-24,Bill,497.06,0.0,1347218.08
2020-08-24,Transfer,0.0,134721.81,1212496.27
2020-08-24,Cheque,0.0,151562.03,1060934.24
2020-08-24,Transfer,1846.56,0.0,1062780.8
2020-08-24,Debit Card,631472.0,0.0,1694252.8
2020-08-24,Purchase,15629.0,0.0,1709881.8
2020-08-24,IMPS,174734.7,0.0,1884616.5
2020-08-24,Cheque,26.9,0.0,1884643.4
2020-08-24,Cash,274.7,0.0,1884918.1
2020-08-24,Purchase,15.2,0.0,1884933.3
2020-08-24,RTGS,0.0,188493.33,1696439.97
2020-08-24,ATM,0.0,565479.99,1130959.98
2020-08-24,Reversal,74038.72,0.0,1204998.7
2020-08-24,ATM,0.0,172142.67,1032856.03
2020-08-24,Miscellaneous,86627.0,0.0,1119483.03
2020-08-24,Tax,0.0,1119483.03,0.0
2020-08-25,RTGS,3364.1,0.0,3364.1
2020-08-25,Transfer,0.0,420.51,2943.59
2020-08-26,Interest,10699.78,0.0,13643.37
2020-08-26,Tax,0.0,1705.42,11937.95
2020-08-26,RTGS,0.0,1492.24,10445.71
2020-08-26,RTGS,0.0,1160.63,9285.08
2020-08-26,Purchase,0.0,1857.02,7428.06
2020-08-26,NEFT,0.0,1238.01,6190.05
2020-08-26,RTGS,0.0,1031.68,5158.38
2020-08-26,Purchase,1098.2,0.0,6256.58
2020-08-26,Cash,0.0,1251.32,5005.26
2020-08-26,Interest,46.2,0.0,5051.46
2020-08-26,NEFT,3871.6,0.0,8923.06
2020-08-26,Debit Card,0.0,1784.61,7138.45
2020-08-26,ATM,0.0,713.85,6424.6
2020-08-27,Transfer,329.6,0.0,6754.2
2020-08-27,NEFT,0.0,1125.7,5628.5
2020-08-27,Tax,32651.54,0.0,38280.04
2020-08-27,ATM,44.0,0.0,38324.04
2020-08-27,ATM,1.24,0.0,38325.28
2020-08-27,Commission,0.0,12775.09,25550.19
2020-08-27,IMPS,0.0,2838.91,22711.28
2020-08-27,NEFT,887.03,0.0,23598.31
2020-08-27,ATM,70759.0,0.0,94357.31
2020-08-27,Miscellaneous,0.0,10484.15,83873.16
2020-08-27,Miscellaneous,6.0,0.0,83879.16
2020-08-27,Miscellaneous,0.0,10484.9,73394.26
2020-08-27,Cheque,134526.0,0.0,207920.26
2020-08-27,Interest,232.0,0.0,208152.26
2020-08-27,NEFT,0.0,26019.03,182133.23
2020-08-27,IMPS,0.0,26019.03,156114.2
2020-08-27,RTGS,0.0,19514.28,136599.93
2020-08-27,Miscellaneous,0.0,15177.77,121422.16
2020-08-27,Cash,37.1,0.0,121459.26
2020-08-27,Transfer,51.9,0.0,121511.16
2020-08-27,Purchase,977896.0,0.0,1099407.16
2020-08-27,ATM,112202.47,0.0,1211609.63
2020-08-27,RTGS,5812.6,0.0,1217422.23
2020-08-27,ATM,0.0,608711.12,608711.12
2020-08-27,Interest,87.0,0.0,608798.12
2020-08-27,Miscellaneous,281350.8,0.0,890148.92
2020-08-27,Debit Card,0.0,445074.46,445074.46
2020-08-27,Tax,363356.0,0.0,808430.46
2020-08-27,Cheque,0.0,80843.05,727587.41
2020-08-27,Cash,0.0,181896.85,545690.56
2020-08-27,Commission,95879.9,0.0,641570.46
2020-08-27,Miscellaneous,18525.99,0.0,660096.45
2020-08-27,Transfer,3077.0,0.0,663173.45
2020-08-28,Tax,227.4,0.0,663400.85
2020-08-28,Purchase,0.0,165850.21,497550.64
2020-08-28,Interest,0.0,82925.11,414625.53
2020-08-28,Cash,0.6,0.0,414626.13
2020-08-28,Reversal,0.0,46069.57,368556.56
2020-08-28,NEFT,0.0,46069.57,322486.99
2020-08-28,Reversal,0.0,107495.66,214991.33
2020-08-28,Interest,0.0,53747.83,161243.5
2020-08-28,RTGS,0.0,17915.94,143327.56
2020-08-29,IMPS,0.0,71663.78,71663.78
2020-08-29,Debit Card,44.0,0.0,71707.78
2020-08-29,Bill,0.0,17926.95,53780.84
2020-08-29,NEFT,193.74,0.0,53974.58
2020-08-29,Debit Card,42941.4,0.0,96915.98
2020-08-29,Purchase,1491531.0,0.0,1588446.98
2020-08-29,Cash,3716.5,0.0,1592163.48
2020-08-29,Bill,0.0,176907.05,1415256.43
2020-08-29,RTGS,0.0,1415256.43,0.0
2020-08-29,Debit Card,223474.0,0.0,223474.0
2020-08-29,Commission,10931.0,0.0,234405.0
2020-08-29,Interest,0.0,234405.0,0.0
2020-08-29,Transfer,31.0,0.0,31.0
2020-08-29,Commission,0.0,4.43,26.57
2020-08-29,Transfer,1714731.0,0.0,1714757.57
2020-08-29,Interest,3091.56,0.0,1717849.13
2020-08-29,Transfer,20652.9,0.0,1738502.03
2020-08-29,Transfer,1635.0,0.0,1740137.03
2020-08-29,Purchase,0.0,1740137.03,0.0
2020-08-29,Purchase,503.59,0.0,503.59
2020-08-29,Bill,0.0,50.36,453.23
2020-08-29,Commission,0.0,151.08,302.15
2020-08-29,Purchase,0.0,50.36,251.79
2020-08-29,Interest,0.0,41.97,209.82
2020-08-29,RTGS,0.0,29.97,179.85
2020-08-29,Bill,0.0,17.99,161.86
2020-08-30,RTGS,0.0,26.98,134.88
2020-08-30,Cheque,0.0,19.27,115.61
2020-08-30,Cheque,0.0,57.81,57.8
2020-08-30,Interest,4.3,0.0,62.1
2020-08-30,Cash,9.0,0.0,71.1
2020-08-30,Commission,82053.3,0.0,82124.4
2020-08-30,RTGS,92237.06,0.0,174361.46
2020-08-30,Commission,877120.0,0.0,1051481.46
2020-08-30,Tax,202.0,0.0,1051683.46
2020-08-30,ATM,3312.0,0.0,1054995.46
2020-08-30,Bill,0.0,150713.64,904281.82
2020-08-30,NEFT,0.0,452140.91,452140.91
2020-08-30,ATM,0.0,226070.46,226070.46
2020-08-30,ATM,164.0,0.0,226234.46
2020-08-30,Reversal,258167.8,0.0,484402.26
2020-08-30,Reversal,0.0,48440.23,435962.03
2020-08-30,NEFT,618.8,0.0,436580.83
2020-08-30,Reversal,21.0,0.0,436601.83
2020-08-30,Interest,275.74,0.0,436877.57
2020-08-30,ATM,3574.5,0.0,440452.07
2020-08-31,Commission,17.0,0.0,440469.07
2020-08-31,Interest,0.0,220234.54,220234.54
2020-09-01,Transfer,6222.32,0.0,226456.86
2020-09-01,ATM,53.3,0.0,226510.16
2020-09-01,Reversal,0.0,28313.77,198196.39
2020-09-01,Cash,938633.75,0.0,1136830.14
2020-09-01,IMPS,1.4,0.0,1136831.54
2020-09-02,Purchase,2719.0,0.0,1139550.54
2020-09-02,NEFT,238647.1,0.0,1378197.64
2020-09-02,Debit Card,0.0,196885.38,1181312.26
2020-09-02,Debit Card,0.0,131256.92,1050055.34
2020-09-02,RTGS,1702770.2,0.0,2752825.54
2020-09-02,Cheque,0.0,550565.11,2202260.43
2020-09-02,ATM,1261327.8,0.0,3463588.23
2020-09-02,RTGS,1216645.5,0.0,4680233.73
2020-09-02,Interest,0.0,520025.97,4160207.76
2020-09-02,Transfer,0.0,462245.31,3697962.45
2020-09-02,Bill,0.0,410884.72,3287077.73
2020-09-02,Transfer,7.9,0.0,3287085.63
2020-09-02,Tax,377.55,0.0,3287463.18
2020-09-02,Miscellaneous,245.53,0.0,3287708.71
2020-09-02,ATM,0.0,657541.74,2630166.97
2020-09-02,NEFT,0.0,263016.7,2367150.27
2020-09-02,NEFT,51.1,0.0,2367201.37
2020-09-03,Bill,0.0,789067.12,1578134.25
2020-09-03,Purchase,0.0,789067.13,789067.12
2020-09-03,RTGS,1384.35,0.0,790451.47
2020-09-04,Transfer,0.0,98806.43,691645.04
2020-09-04,Interest,0.0,98806.43,592838.61
2020-09-04,NEFT,0.0,592838.61,0.0
2020-09-04,RTGS,0.72,0.0,0.72
2020-09-04,Transfer,3.33,0.0,4.05
2020-09-05,Reversal,0.0,1.35,2.7
2020-09-05,Bill,0.0,1.35,1.35
2020-09-05,Interest,0.0,0.23,1.12
2020-09-05,Reversal,922.0,0.0,923.12
2020-09-05,Commission,1858278.0,0.0,1859201.12
2020-09-05,Interest,277.0,0.0,1859478.12
2020-09-05,Interest,0.0,619826.04,1239652.08
2020-09-05,Transfer,340.9,0.0,1239992.98
2020-09-05,Transfer,1892.78,0.0,1241885.76
2020-09-05,Bill,0.0,248377.15,993508.61
2020-09-05,NEFT,0.0,198701.72,794806.89
2020-09-05,Cheque,0.0,88311.88,706495.01
2020-09-05,Transfer,9815.44,0.0,716310.45
2020-09-05,Cheque,723495.75,0.0,1439806.2
2020-09-05,ATM,0.0,143980.62,1295825.58
2020-09-06,Bill,6.5,0.0,1295832.08
2020-09-06,NEFT,347.0,0.0,1296179.08
2020-09-06,Tax,12657.4,0.0,1308836.48
2020-09-06,Interest,220259.06,0.0,1529095.54
2020-09-06,RTGS,0.0,382273.89,1146821.66
2020-09-06,NEFT,167.5,0.0,1146989.16
2020-09-06,Cheque,0.0,573494.58,573494.58
2020-09-06,Cheque,0.0,71686.82,501807.76
2020-09-06,IMPS,750867.2,0.0,1252674.96
2020-09-06,NEFT,59.8,0.0,1252734.76
2020-09-06,IMPS,4778.51,0.0,1257513.27
2020-09-06,Miscellaneous,0.0,1257513.27,0.0
2020-09-06,NEFT,25899.0,0.0,25899.0
2020-09-06,Commission,0.0,3699.86,22199.14
2020-09-06,Interest,0.0,0.0,22199.14
2020-09-06,Miscellaneous,0.0,2466.57,19732.57
2020-09-06,Cheque,0.0,19732.57,0.0
2020-09-06,Transfer,4.21,0.0,4.21
2020-09-06,Cheque,0.0,1.05,3.16
2020-09-06,Debit Card,0.0,0.53,2.63
2020-09-06,Miscellaneous,0.0,0.66,1.97
2020-09-06,Debit Card,0.0,0.99,0.98
2020-09-06,IMPS,0.0,0.98,0.0
2020-09-06,Bill,213.6,0.0,213.6
2020-09-06,Reversal,2033119.2,0.0,2033332.8
2020-09-06,Cash,260909.12,0.0,2294241.92
2020-09-06,Reversal,0.0,286780.24,2007461.68
2020-09-06,Interest,0.0,401492.34,1605969.34
2020-09-06,ATM,23090.54,0.0,1629059.88
2020-09-06,Transfer,778.81,0.0,1629838.69
2020-09-06,IMPS,0.0,232834.1,1397004.59
2020-09-07,Cheque,442.45,0.0,1397447.04
2020-09-07,Transfer,1251.0,0.0,1398698.04
2020-09-07,Reversal,8.7,0.0,1398706.74
2020-09-07,Commission,0.0,233117.79,1165588.95
2020-09-07,Cash,0.0,166512.71,999076.24
2020-09-07,Miscellaneous,32705.0,0.0,1031781.24
2020-09-07,IMPS,0.0,147397.32,884383.92
2020-09-07,Purchase,0.0,126340.56,758043.36
2020-09-07,Bill,7.7,0.0,758051.06
2020-09-07,ATM,2432.0,0.0,760483.06
2020-09-07,Cheque,4052.17,0.0,764535.23
2020-09-07,IMPS,0.0,76453.52,688081.71
2020-09-07,Transfer,39.5,0.0,688121.21
2020-09-07,Cash,1513966.0,0.0,2202087.21
2020-09-07,IMPS,412.0,0.0,2202499.21
2020-09-07,Transfer,0.0,244722.13,1957777.08
2020-09-07,Reversal,5.0,0.0,1957782.08
2020-09-07,Cheque,0.0,326297.01,1631485.07
2020-09-07,Reversal,1782155.0,0.0,3413640.07
2020-09-07,Transfer,156911.84,0.0,3570551.91
2020-09-07,Commission,0.0,357055.19,3213496.72
2020-09-07,Cheque,0.0,357055.19,2856441.53
2020-09-07,Bill,0.0,952147.18,1904294.35
2020-09-07,Reversal,2534.91,0.0,1906829.26
2020-09-07,Purchase,69855.0,0.0,1976684.26
2020-09-07,Reversal,166.34,0.0,1976850.6
2020-09-07,NEFT,8517.02,0.0,1985367.62
2020-09-07,Interest,2.0,0.0,1985369.62
2020-09-07,ATM,3.0,0.0,1985372.62
2020-09-07,Purchase,125.08,0.0,1985497.7
2020-09-07,Interest,10590.0,0.0,1996087.7
2020-09-07,Interest,596055.8,0.0,2592143.5
2020-09-07,Interest,396941.5,0.0,2989085.0
2020-09-07,Commission,21.0,0.0,2989106.0
2020-09-07,Tax,3310.9,0.0,2992416.9
2020-09-07,Tax,0.8,0.0,2992417.7
2020-09-07,Commission,98.24,0.0,2992515.94
2020-09-07,Reversal,5.5,0.0,2992521.44
2020-09-07,Reversal,10164.0,0.0,3002685.44
2020-09-07,Cash,0.0,500447.57,2502237.87
2020-09-07,Interest,382115.5,0.0,2884353.37
2020-09-07,Purchase,0.0,961451.12,1922902.25
2020-09-07,Interest,0.0,961451.13,961451.12
2020-09-08,NEFT,1499.0,0.0,962950.12
2020-09-08,Purchase,325.0,0.0,963275.12
2020-09-08,ATM,766598.2,0.0,1729873.32
2020-09-08,Cheque,241951.0,0.0,1971824.32
2020-09-08,Commission,29.0,0.0,1971853.32
2020-09-08,Transfer,59175.2,0.0,2031028.52
2020-09-08,Reversal,0.0,253878.57,1777149.96
2020-09-08,NEFT,0.0,177715.0,1599434.96
2020-09-08,Cheque,0.0,228490.71,1370944.25
2020-09-08,Bill,0.0,342736.06,1028208.19
2020-09-08,Miscellaneous,1360620.25,0.0,2388828.44
2020-09-08,Miscellaneous,1.0,0.0,2388829.44
2020-09-08,ATM,26845.22,0.0,2415674.66
2020-09-08,RTGS,281.8,0.0,2415956.46
2020-09-08,Commission,0.0,483191.29,1932765.17
2020-09-08,IMPS,24.55,0.0,1932789.72
2020-09-08,Miscellaneous,6.2,0.0,1932795.92
2020-09-08,Cash,1.0,0.0,1932796.92
2020-09-08,Miscellaneous,0.0,966398.46,966398.46
2020-09-08,Debit Card,0.0,96639.85,869758.61
2020-09-08,Debit Card,4014.0,0.0,873772.61
2020-09-08,Cheque,41.0,0.0,873813.61
2020-09-08,Interest,0.0,109226.7,764586.91
2020-09-08,Cash,0.5,0.0,764587.41
2020-09-09,Debit Card,3398.0,0.0,767985.41
2020-09-09,Bill,98.0,0.0,768083.41
2020-09-09,Miscellaneous,0.0,85342.6,682740.81
2020-09-09,Tax,0.0,68274.08,614466.73
2020-09-09,IMPS,0.0,76808.34,537658.39
2020-09-09,Debit Card,7032.0,0.0,544690.39
2020-09-09,ATM,200667.0,0.0,745357.39
2020-09-09,Transfer,0.0,372678.7,372678.7
2020-09-09,Miscellaneous,0.0,186339.35,186339.35
2020-09-09,Debit Card,1688438.5,0.0,1874777.85
2020-09-09,IMPS,0.0,234347.23,1640430.62
2020-09-09,Interest,194362.0,0.0,1834792.62
2020-09-09,Reversal,0.0,366958.52,1467834.1
2020-09-09,ATM,2.0,0.0,1467836.1
2020-09-09,Cheque,119.6,0.0,1467955.7
2020-09-09,Miscellaneous,0.0,209707.96,1258247.74
2020-09-09,Transfer,121.48,0.0,1258369.22
2020-09-10,ATM,0.0,179767.03,1078602.19
2020-09-10,RTGS,191.0,0.0,1078793.19
2020-09-11,Reversal,0.0,359597.73,719195.46
2020-09-11,Transfer,452610.0,0.0,1171805.46
2020-09-12,Cheque,4916.9,0.0,1176722.36
2020-09-12,Cash,0.0,588361.18,588361.18
2020-09-12,Cash,0.0,58836.12,529525.06
2020-09-12,NEFT,260382.6,0.0,789907.66
2020-09-12,Debit Card,221.0,0.0,790128.66
2020-09-12,Transfer,545386.2,0.0,1335514.86
2020-09-12,Interest,0.0,190787.84,1144727.02
2020-09-12,Debit Card,0.0,228945.4,915781.62
2020-09-12,Interest,0.0,91578.16,824203.46
2020-09-12,RTGS,0.0,274734.49,549468.97
2020-09-12,Interest,781.0,0.0,550249.97
2020-09-12,Commission,1910.0,0.0,552159.97
2020-09-12,Tax,0.0,110431.99,441727.98
2020-09-12,Transfer,3.0,0.0,441730.98
2020-09-12,Cash,22.0,0.0,441752.98
2020-09-12,ATM,0.0,44175.3,397577.68
2020-09-12,Purchase,413.0,0.0,397990.68
2020-09-12,Reversal,0.0,44221.19,353769.49
2020-09-12,Purchase,406.2,0.0,354175.69
2020-09-12,Transfer,2056960.75,0.0,2411136.44
2020-09-12,Tax,0.0,267904.05,2143232.39
2020-09-12,Bill,45.7,0.0,2143278.09
2020-09-12,Cheque,41.33,0.0,2143319.42
2020-09-12,Cheque,0.0,306188.49,1837130.93
2020-09-12,Cheque,0.0,306188.49,1530942.44
2020-09-12,Purchase,7.0,0.0,1530949.44
2020-09-12,Tax,299.7,0.0,1531249.14
2020-09-12,Bill,7.09,0.0,1531256.23
2020-09-12,IMPS,14902.6,0.0,1546158.83
2020-09-13,NEFT,0.0,171795.43,1374363.4
2020-09-13,ATM,4.5,0.0,1374367.9
2020-09-13,Transfer,2904.55,0.0,1377272.45
2020-09-13,Transfer,884479.5,0.0,2261751.95
2020-09-13,IMPS,0.0,753917.32,1507834.63
2020-09-13,ATM,0.0,150783.46,1357051.17
2020-09-13,IMPS,5.44,0.0,1357056.61
2020-09-13,Debit Card,0.0,135705.66,1221350.95
2020-09-13,Tax,0.0,407116.98,814233.97
2020-09-13,RTGS,88.38,0.0,814322.35
2020-09-13,Bill,0.0,135720.39,678601.96
2020-09-13,Purchase,0.0,75400.22,603201.74
2020-09-13,Commission,0.0,301600.87,301600.87
2020-09-13,Purchase,336.81,0.0,301937.68
2020-09-13,RTGS,1602771.0,0.0,1904708.68
2020-09-14,Bill,37.63,0.0,1904746.31
2020-09-14,Interest,0.0,211638.48,1693107.83
2020-09-14,Miscellaneous,534922.0,0.0,2228029.83
2020-09-14,Bill,2008229.8,0.0,4236259.63
2020-09-14,Commission,2900.0,0.0,4239159.63
2020-09-15,Cash,0.0,1059789.91,3179369.72
2020-09-15,ATM,0.0,397421.22,2781948.51
2020-09-15,IMPS,0.0,397421.22,2384527.29
2020-09-15,Commission,0.0,340646.76,2043880.53
2020-09-15,Commission,0.0,204388.05,1839492.48
2020-09-15,Reversal,245.0,0.0,1839737.48
2020-09-15,Transfer,0.0,204415.28,1635322.2
2020-09-15,Cash,1751873.5,0.0,3387195.7
2020-09-15,Miscellaneous,0.0,846798.93,2540396.78
2020-09-15,Debit Card,0.0,423399.46,2116997.32
2020-09-15,Bill,0.0,2116997.32,0.0
2020-09-15,Reversal,2662.99,0.0,2662.99
2020-09-15,Debit Card,0.0,380.43,2282.56
2020-09-15,Bill,199807.0,0.0,202089.56
2020-09-15,Cheque,170.0,0.0,202259.56
2020-09-15,ATM,16689.37,0.0,218948.93
2020-09-15,Purchase,16.91,0.0,218965.84
2020-09-15,RTGS,0.0,31280.83,187685.01
